Vector 1: Weights: [0. 0. 0. 0.], Bias: 0, Count: 0
Vector 2: Weights: [ -3.8481 -10.1539   3.8561   4.2228], Bias: -1, Count: 2
Vector 3: Weights: [-3.800092 -8.5502   -4.6195    3.46722 ], Bias: -2, Count: 1
Vector 4: Weights: [-5.066792 -5.7319   -7.0455    1.58102 ], Bias: -1, Count: 8
Vector 5: Weights: [-7.119692 -1.8934   -7.84094   0.36722 ], Bias: 0, Count: 3
Vector 6: Weights: [-10.388892 -14.634      7.71636    0.2254  ], Bias: 1, Count: 7
Vector 7: Weights: [-14.309292 -10.5617     7.47958   -1.8897  ], Bias: 2, Count: 5
Vector 8: Weights: [-17.775992  -6.4893     3.19138   -3.4315  ], Bias: 1, Count: 9
Vector 9: Weights: [-17.658162  -4.9104    -4.83862   -3.403469], Bias: 0, Count: 10
Vector 10: Weights: [-16.208062  -1.3037    -8.89432   -5.000069], Bias: 1, Count: 2
Vector 11: Weights: [-20.884562  -6.9673     2.07468   -5.334559], Bias: 2, Count: 1
Vector 12: Weights: [-18.236662 -17.1047     3.40568    0.136141], Bias: 1, Count: 3
Vector 13: Weights: [-18.120742 -13.8828    -0.02452   -2.709559], Bias: 2, Count: 1
Vector 14: Weights: [-20.708742 -10.0174    -0.35812   -3.989259], Bias: 3, Count: 8
Vector 15: Weights: [-20.587482  -9.79393   -0.83139   -3.019019], Bias: 4, Count: 2
Vector 16: Weights: [-21.078292  -6.94873   -4.47499   -6.119419], Bias: 5, Count: 10
Vector 17: Weights: [-18.883992  -2.39843   -9.45099   -8.844819], Bias: 6, Count: 2
Vector 18: Weights: [-22.905792 -10.70243    3.10401  -10.354719], Bias: 7, Count: 3
Vector 19: Weights: [-22.795472  -8.72833   -0.26279  -11.007309], Bias: 8, Count: 14
Vector 20: Weights: [-22.494662  -8.55452   -2.01699  -10.518099], Bias: 9, Count: 6
Vector 21: Weights: [-21.894162  -6.62182   -5.30579  -10.842249], Bias: 10, Count: 11
